name,bizid,url,categories,type,store_banner,phone,address,opening_hours

Southgate Shopping Center,garvwB-kcbcPcHV_Zh_XuQ,https://www.yelp.com/biz/southgate-shopping-center-nanaimo?osq=Shopping,"[{'title': 'Shopping Centers', 'url': '/search?find_desc=Shopping+Centers&amp;find_loc=Nanaimo%2C+BC'}]",retail

Twisted Pine Woodworking,HU-6gT3l9HyMp991BG2tPA,https://www.yelp.com/biz/twisted-pine-woodworking-nanaimo?osq=Shopping,"[{'title': 'Furniture Stores', 'url': '/search?find_desc=Furniture+Stores&amp;find_loc=Nanaimo%2C+BC'}, {'title': 'Home Decor', 'url': '/search?find_desc=Home+Decor&amp;find_loc=Nanaimo%2C+BC'}, {'title': 'Cabinetry', 'url': '/search?find_desc=Cabinetry&amp;find_loc=Nanaimo%2C+BC'}]",retail,https://s3-media0.fl.yelpcdn.com/bphoto/lxCOLZazQ-ouGAjbsg-TaA/l.jpg,(250) 244-3424,"{'@type': 'PostalAddress', 'streetAddress': '2242 Bourbon Road', 'addressLocality': 'Nanaimo', 'addressRegion': 'BC', 'postalCode': 'V9S 0B8', 'addressCountry': 'CA'}",{}
Port Place Shopping Centre,-zeeNhnWpighf1sfoL1MHg,https://www.yelp.com/biz/port-place-shopping-centre-nanaimo?osq=Shopping,"[{'title': 'Shopping Centers', 'url': '/search?find_desc=Shopping+Centers&amp;find_loc=Nanaimo%2C+BC'}]",retail

Village Food Market,nUWhfBahyTwJCJQTzBjGAw,https://www.yelp.com/biz/village-food-market-gabriola?osq=Shopping,"[{'title': 'Grocery', 'url': '/search?find_desc=Grocery&amp;find_loc=Nanaimo%2C+BC'}]",retail,https://s3-media0.fl.yelpcdn.com/bphoto/jZcyCaMMvbOVPl408KOXLQ/l.jpg,(250) 247-8755,"{'@type': 'PostalAddress', 'streetAddress': '575 North Road\nUnit 14', 'addressLocality': 'Gabriola', 'addressRegion': 'BC', 'postalCode': 'V0R 1X3', 'addressCountry': 'CA'}",{}


Country Club Centre,XNf703t8u72YJRhoq2amJA,https://www.yelp.com/biz/country-club-centre-nanaimo?osq=Shopping,"[{'title': 'Shopping Centers', 'url': '/search?find_desc=Shopping+Centers&amp;find_loc=Nanaimo%2C+BC'}]",retail,https://s3-media0.fl.yelpcdn.com/bphoto/0FEbSlmO0PgRJQHcsIrvTQ/l.jpg,(250) 758-1102,"{'@type': 'PostalAddress', 'streetAddress': '2A-3200 Island Highway N', 'addressLocality': 'Nanaimo', 'addressRegion': 'BC', 'postalCode': 'V9T 1W1', 'addressCountry': 'CA'}",{}
The Children’s Treehouse,5lrHOa2OOtvnjS0h1rjCNw,https://www.yelp.com/biz/the-childrens-treehouse-nanaimo-2?osq=Shopping,"[{'title': 'Toy Stores', 'url': '/search?find_desc=Toy+Stores&amp;find_loc=Nanaimo%2C+BC'}, {'title': 'Bookstores', 'url': '/search?find_desc=Bookstores&amp;find_loc=Nanaimo%2C+BC'}]",retail,https://s3-media0.fl.yelpcdn.com/bphoto/OcHvqZ4feuIZ_4VF6ABG2A/l.jpg,(250) 585-5990,"{'@type': 'PostalAddress', 'streetAddress': '15-3200 North Island Highway', 'addressLocality': 'Nanaimo', 'addressRegion': 'BC', 'postalCode': 'V9T 1W1', 'addressCountry': 'CA'}",{}
Manhattan Home &amp; Gift,FrY4cULza11Y-_Lgx6LTCA,https://www.yelp.com/biz/manhattan-home-and-gift-nanaimo?osq=Shopping,"[{'title': 'Cards &amp; Stationery', 'url': '/search?find_desc=Cards+%26+Stationery&amp;find_loc=Nanaimo%2C+BC'}, {'title': 'Home Decor', 'url': '/search?find_desc=Home+Decor&amp;find_loc=Nanaimo%2C+BC'}, {'title': 'Accessories', 'url': '/search?find_desc=Accessories&amp;find_loc=Nanaimo%2C+BC'}]",retail,https://s3-media0.fl.yelpcdn.com/bphoto/oWvMZIbo66lqh_M-m_h_CQ/l.jpg,(250) 244-1571,"{'@type': 'PostalAddress', 'streetAddress': '6631 Island Highway North\nUnit 51D', 'addressLocality': 'Nanaimo', 'addressRegion': 'BC', 'postalCode': 'V9T 4T7', 'addressCountry': 'CA'}",{}


Hill’s Native Art,FbOK3aWZIhhgAuzBaxZDgw,https://www.yelp.com/biz/hills-native-art-nanaimo?osq=Shopping,"[{'title': 'Art Galleries', 'url': '/search?find_desc=Art+Galleries&amp;find_loc=Nanaimo%2C+BC'}]",retail,https://s3-media0.fl.yelpcdn.com/bphoto/Q_XjG1xu0_g1avl_WhU05w/l.jpg,(250) 755-7873,"{'@type': 'PostalAddress', 'streetAddress': '76 Bastion Street', 'addressLocality': 'Nanaimo', 'addressRegion': 'BC', 'postalCode': 'V9R 3A1', 'addressCountry': 'CA'}",{}


